

"Host:","peer41",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-peer41.dstat.csv",,,,"Date:","29 Nov 2022 20:03:46 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 20:06:09,11.913,2.685,85.067,0.336,0,0,90112,852234240,12937019392,1017806848,1328336896,0,0,
29-11 20:06:10,22.294,5.493,72.213,0,0,0,0,851435520,12936245248,1017806848,1329905664,0,0,
29-11 20:06:11,6.977,1.993,91.030,0,0,0,0,851091456,12935987200,1017806848,1330507776,0,0,
29-11 20:06:12,1.849,0.840,97.143,0.168,0,0,335872,851300352,12935729152,1017810944,1330552832,0,0,
29-11 20:06:13,1.342,0.503,98.154,0,0,0,0,851288064,12935729152,1017810944,1330565120,0,0,
29-11 20:06:14,0.675,0.337,98.820,0.169,0,0,98304,851292160,12935712768,1017810944,1330577408,0,0,
29-11 20:06:15,1.173,0.670,98.157,0,0,0,0,851292160,12935712768,1017810944,1330577408,0,0,
29-11 20:06:16,14.601,3.226,82.173,0,0,0,0,851935232,12935061504,1017810944,1330585600,0,0,
29-11 20:06:17,22.166,3.892,73.942,0,0,0,172032,852217856,12932874240,1017815040,1332473856,0,0,
29-11 20:06:18,28.715,7.346,63.439,0.501,0,0,13688832,852692992,12931809280,1017823232,1332994048,0,0,
29-11 20:06:19,30.151,6.700,62.312,0.838,0,0,22372352,853245952,12930760704,1017839616,1333358592,0,0,
29-11 20:06:20,29.187,7.794,62.023,0.995,0,0,28803072,852144128,12932517888,1017860096,1332617216,0,0,
29-11 20:06:21,28.188,7.550,64.262,0,0,0,0,852295680,12931244032,1017860096,1333760000,0,0,
29-11 20:06:22,19.393,3.879,76.560,0.169,0,0,14000128,852389888,12929363968,1017860096,1335533568,0,0,
29-11 20:06:23,12.248,3.356,84.396,0,0,0,49152,851607552,12929114112,1017860096,1336553472,0,0,
29-11 20:06:24,1.007,0.336,98.658,0,0,0,0,851607552,12929114112,1017860096,1336553472,0,0,
29-11 20:06:25,1.178,0.673,98.148,0,0,0,0,851623936,12929097728,1017860096,1336553472,0,0,
29-11 20:06:26,2.010,0.670,97.152,0.168,0,0,278528,852672512,12928057344,1017860096,1336545280,0,0,
29-11 20:06:27,20.771,4.188,75.042,0,0,0,22511616,852443136,12927242240,1017860096,1337577472,0,0,
29-11 20:06:28,11.167,3,85.833,0,0,0,0,851935232,12926984192,1017860096,1338339328,0,0,
29-11 20:06:29,16.890,4.013,78.595,0.502,0,0,14974976,852656128,12926435328,1017860096,1338159104,0,0,
29-11 20:06:30,0.843,0.337,98.820,0,0,0,0,852500480,12926468096,1017860096,1338281984,0,0,
29-11 20:06:31,0.672,0.672,98.487,0.168,0,0,114688,852512768,12926451712,1017860096,1338286080,0,0,
29-11 20:06:32,1.007,0.671,98.154,0.168,0,0,4251648,852537344,12926427136,1017860096,1338286080,0,0,
29-11 20:06:33,24.357,5.146,70.497,0,0,0,0,852238336,12925427712,1017860096,1339568128,0,0,
29-11 20:06:34,28.716,5.405,65.709,0.169,0,0,180224,850665472,12924620800,1017860096,1341898752,0,0,
29-11 20:06:35,28.179,6.357,65.464,0,0,0,0,850673664,12922572800,1017860096,1343918080,0,0,
29-11 20:06:36,23.980,6.122,69.898,0,0,0,0,852398080,12920115200,1017860096,1344634880,0,0,
29-11 20:06:37,22.411,4.584,72.666,0.340,0,0,14057472,851898368,12918669312,1017860096,1346560000,0,0,
29-11 20:06:38,29.353,7.297,63.350,0,0,0,0,851451904,12916887552,1017860096,1348767744,0,0,
29-11 20:06:39,27.863,6.667,65.299,0.171,0,0,139264,851533824,12914814976,1017860096,1350721536,0,0,
29-11 20:06:40,28.141,7.538,64.322,0,0,0,0,851632128,12912750592,1017860096,1352617984,0,0,
29-11 20:06:41,22.222,4.312,73.466,0,0,0,0,851861504,12911194112,1017860096,1353924608,0,0,
29-11 20:06:42,11.519,3.005,84.808,0.668,0,0,17186816,852279296,12909662208,1017864192,1354956800,0,0,
29-11 20:06:43,2.017,0.672,96.975,0.336,0,0,57344,853319680,12908621824,1017864192,1354956800,0,0,
29-11 20:06:44,1.342,0.336,98.322,0,0,0,0,853311488,12908630016,1017864192,1354956800,0,0,
29-11 20:06:45,0.675,0.506,98.820,0,0,0,0,853307392,12908630016,1017864192,1354960896,0,0,
29-11 20:06:46,3.866,1.345,94.790,0,0,0,0,853454848,12908371968,1017864192,1355083776,0,0,
29-11 20:06:47,1.007,0.336,98.658,0,0,0,0,853463040,12908371968,1017864192,1355075584,0,0,
29-11 20:06:48,1.508,0.503,97.822,0.168,0,0,229376,853471232,12908363776,1017864192,1355075584,0,0,
