

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 15:25:47 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 15:27:47,3.547,0.760,95.608,0.084,0,0,122880,1483919360,14032355328,35651584,791068672,0,0,
29-11 15:27:48,3.096,0.837,96.067,0,0,0,0,1483902976,14032093184,35651584,791068672,0,0,
29-11 15:27:49,3.122,0.928,95.865,0.084,0,0,114688,1480724480,14034960384,35659776,791072768,0,0,
29-11 15:27:50,3.769,1.089,95.142,0,0,0,90112,1480646656,14034698240,35667968,791072768,0,0,
29-11 15:27:51,3.694,1.175,95.046,0.084,0,0,204800,1481097216,14033985536,35676160,791076864,0,0,
29-11 15:27:52,2.510,0.669,96.820,0,0,0,0,1481068544,14033821696,35676160,791076864,0,0,
29-11 15:27:53,2.090,1.003,96.906,0,0,0,106496,1481023488,14033657856,35676160,791076864,0,0,
29-11 15:27:54,3.122,0.759,96.118,0,0,0,0,1481007104,14033428480,35676160,791076864,0,0,
29-11 15:27:55,3.008,1.337,95.572,0.084,0,0,131072,1478586368,14035587072,35684352,791080960,0,0,
29-11 15:27:56,3.347,1.088,95.481,0.084,0,0,155648,1478787072,14035066880,35684352,791080960,0,0,
29-11 15:27:57,3.529,1.261,95.210,0,0,0,14270464,1479749632,14033707008,35692544,791085056,0,0,
29-11 15:27:58,3.532,0.925,95.542,0,0,0,0,1479954432,14033252352,35692544,791085056,0,0,
29-11 15:27:59,4.485,1.080,94.352,0.083,0,0,114688,1480695808,14032248832,35700736,791089152,0,0,
29-11 15:28:00,2.013,0.671,97.232,0.084,0,0,65536,1480609792,14032052224,35708928,791089152,0,0,
29-11 15:28:01,3.701,0.841,95.458,0,0,0,229376,1480249344,14032031744,35717120,791093248,0,0,
29-11 15:28:02,3.862,0.840,95.298,0,0,0,49152,1480220672,14031818752,35717120,791093248,0,0,
29-11 15:28:03,4.341,1.169,94.407,0.083,0,0,65536,1480175616,14031589376,35717120,791093248,0,0,
29-11 15:28:04,3.109,0.840,96.050,0,0,0,0,1480134656,14031425536,35717120,791093248,0,0,
29-11 15:28:05,2.433,1.174,96.309,0.084,0,0,122880,1478017024,14033195008,35725312,791097344,0,0,
29-11 15:28:06,3.843,1.253,94.820,0.084,0,0,114688,1477931008,14032965632,35725312,791097344,0,0,
29-11 15:28:07,4.595,0.919,94.403,0.084,0,0,131072,1480192000,14030331904,35733504,791101440,0,0,
29-11 15:28:08,4.003,1.001,94.996,0,0,0,0,1479897088,14030426112,35733504,791101440,0,0,
29-11 15:28:09,3.598,0.502,95.900,0,0,0,65536,1480175616,14029905920,35733504,791101440,0,0,
29-11 15:28:10,2.850,0.754,96.228,0.168,0,0,139264,1480810496,14028935168,35749888,791101440,0,0,
29-11 15:28:11,3.856,1.090,94.971,0.084,0,0,229376,1480740864,14028705792,35758080,791105536,0,0,
