

"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 13:56:22 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:57:31,1.505,0.502,97.826,0.167,0,0,106496,791990272,12414775296,599891968,2381115392,0,0,
17-11 13:57:32,1.508,1.005,97.487,0,0,0,0,792797184,12413968384,599891968,2381115392,0,0,
17-11 13:57:33,12.121,2.862,84.848,0.168,0,0,221184,793300992,12413460480,599900160,2381111296,0,0,
17-11 13:57:34,14.721,4.399,80.880,0,0,0,0,793288704,12413460480,599900160,2381123584,0,0,
17-11 13:57:35,1.010,0.505,98.485,0,0,0,16384,793280512,12413468672,599900160,2381123584,0,0,
17-11 13:57:36,23.888,5.931,70.016,0.165,0,0,73728,793288704,12413460480,599900160,2381123584,0,0,
17-11 13:57:37,6.588,2.027,91.385,0,0,0,0,794341376,12412403712,599900160,2381127680,0,0,
17-11 13:57:38,1.513,0.840,97.647,0,0,0,0,792018944,12414726144,599900160,2381127680,0,0,
17-11 13:57:39,14.872,4.103,81.026,0,0,0,0,792252416,12414492672,599900160,2381127680,0,0,
17-11 13:57:40,1.347,0.505,98.148,0,0,0,65536,792248320,12414492672,599904256,2381127680,0,0,
17-11 13:57:41,5.351,1.003,93.645,0,0,0,0,792489984,12414251008,599904256,2381127680,0,0,
17-11 13:57:42,1.510,0.671,97.651,0.168,0,0,81920,794587136,12412145664,599904256,2381135872,0,0,
17-11 13:57:43,8.375,2.178,89.280,0.168,0,0,65536,794537984,12412194816,599904256,2381135872,0,0,
17-11 13:57:44,2.504,1.669,95.826,0,0,0,0,794562560,12412170240,599904256,2381135872,0,0,
17-11 13:57:45,2.203,1.186,96.610,0,0,0,311296,794816512,12411912192,599904256,2381139968,0,0,
17-11 13:57:46,31.052,5.509,63.439,0,0,0,0,794808320,12411912192,599904256,2381148160,0,0,
17-11 13:57:47,14.381,2.508,82.943,0.167,0,0,565248,795332608,12411387904,599912448,2381139968,0,0,
17-11 13:57:48,1.178,1.178,97.475,0.168,0,0,147456,793251840,12413460480,599912448,2381148160,0,0,
17-11 13:57:49,23.786,4.690,71.524,0,0,0,0,793251840,12413460480,599912448,2381148160,0,0,
17-11 13:57:50,13.706,2.369,83.926,0,0,0,0,793251840,12413460480,599912448,2381148160,0,0,
17-11 13:57:51,2.167,0.500,97.333,0,0,0,0,793251840,12413460480,599912448,2381148160,0,0,
17-11 13:57:52,14.765,3.523,81.711,0,0,0,40960,793501696,12413202432,599912448,2381156352,0,0,
17-11 13:57:53,1.176,0.336,98.487,0,0,0,49152,793493504,12413202432,599912448,2381164544,0,0,
17-11 13:57:54,8.375,1.508,89.950,0.168,0,0,65536,793751552,12412944384,599912448,2381164544,0,0,
17-11 13:57:55,1.675,0.670,97.655,0,0,0,0,793751552,12412944384,599912448,2381164544,0,0,
17-11 13:57:56,5.833,1.500,92.667,0,0,0,0,793751552,12412944384,599912448,2381164544,0,0,
17-11 13:57:57,10.033,3.010,86.622,0.334,0,0,59047936,794009600,12412678144,599920640,2381164544,0,0,
17-11 13:57:58,2.192,1.012,96.796,0,0,0,0,791420928,12415266816,599920640,2381164544,0,0,
17-11 13:57:59,2.990,1.329,95.349,0.332,0,0,65536,790646784,12416040960,599920640,2381164544,0,0,
17-11 13:58:00,1.505,0.836,97.659,0,0,0,0,790904832,12415782912,599920640,2381164544,0,0,
17-11 13:58:01,15.526,3.673,80.801,0,0,0,0,791162880,12415524864,599920640,2381164544,0,0,
17-11 13:58:02,3.523,0.503,95.805,0.168,0,0,1884160,792969216,12413710336,599928832,2381164544,0,0,
17-11 13:58:03,9.732,2.181,88.087,0,0,0,0,793481216,12413194240,599928832,2381168640,0,0,
17-11 13:58:04,11.054,2.891,85.884,0.170,0,0,65536,793473024,12413194240,599928832,2381176832,0,0,
17-11 13:58:05,0.839,0.671,98.490,0,0,0,65536,793473024,12413194240,599928832,2381176832,0,0,
17-11 13:58:06,23.609,5.396,70.995,0,0,0,0,793468928,12413194240,599928832,2381180928,0,0,
17-11 13:58:07,17.172,3.704,78.956,0.168,0,0,81920,794767360,12411895808,599937024,2381172736,0,0,
17-11 13:58:08,1.667,1,97.333,0,0,0,0,792944640,12413710336,599937024,2381180928,0,0,
17-11 13:58:09,4.034,1.176,94.790,0,0,0,0,792944640,12413710336,599937024,2381180928,0,0,
17-11 13:58:10,2.667,0.500,96.500,0.333,0,0,73728,792944640,12413710336,599937024,2381180928,0,0,
17-11 13:58:11,12,3,85,0,0,0,0,792944640,12413710336,599937024,2381180928,0,0,
17-11 13:58:12,3.167,1.333,95.500,0,0,0,0,794492928,12412162048,599937024,2381185024,0,0,
17-11 13:58:13,5.219,1.515,93.098,0.168,0,0,57344,794488832,12412162048,599941120,2381180928,0,0,
17-11 13:58:14,30.198,6.271,63.531,0,0,0,65536,794742784,12411904000,599941120,2381185024,0,0,
17-11 13:58:15,1.672,0.836,97.324,0.167,0,0,65536,794738688,12411904000,599945216,2381185024,0,0,
17-11 13:58:16,7.525,2.843,89.632,0,0,0,49152,795254784,12411387904,599945216,2381185024,0,0,
17-11 13:58:17,5.853,1.505,92.642,0,0,0,0,795521024,12411121664,599945216,2381185024,0,0,
17-11 13:58:18,3.494,1.498,95.008,0,0,0,122880,793198592,12413444096,599945216,2381185024,0,0,
17-11 13:58:19,10.642,2.196,87.162,0,0,0,0,793194496,12413444096,599945216,2381189120,0,0,
