

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-32k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 15:53:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 15:55:20,25.106,5.833,68.977,0.085,0,0,155648,1586618368,13739528192,10362880,1028780032,0,0,
17-11 15:55:21,25.554,5.366,69.080,0,0,8192,122880,1586642944,13739503616,10375168,1028767744,0,0,
17-11 15:55:22,25.167,6.522,68.311,0,0,0,172032,1586581504,13739552768,10383360,1028771840,0,0,
17-11 15:55:23,25.464,5.987,68.465,0.084,0,4546560,106496,1586163712,13737971712,10395648,1030758400,0,0,
17-11 15:55:24,25.842,5.892,68.182,0.084,0,0,57344,1584267264,13739577344,10395648,1031045120,0,0,
17-11 15:55:25,26.711,6.093,67.195,0,0,0,172032,1582116864,13741719552,10403840,1031049216,0,0,
17-11 15:55:26,24.979,5.837,69.185,0,0,0,49152,1583214592,13740617728,10403840,1031049216,0,0,
17-11 15:55:27,25.107,5.159,69.647,0.086,0,163840,106496,1584291840,13739528192,10407936,1031057408,0,0,
17-11 15:55:28,24.724,6.202,69.074,0,0,0,425984,1584218112,13739511808,10416128,1031122944,0,0,
17-11 15:55:29,24.206,5.579,70.129,0.086,0,0,49152,1584222208,13739495424,10416128,1031135232,0,0,
17-11 15:55:30,24.512,6.107,69.381,0,0,0,245760,1584222208,13739495424,10432512,1031118848,0,0,
17-11 15:55:31,25.765,4.762,69.473,0,0,90112,49152,1584185344,13739495424,10465280,1031122944,0,0,
17-11 15:55:32,25.209,6.281,68.425,0.084,0,0,114688,1584148480,13739503616,10465280,1031151616,0,0,
17-11 15:55:33,25.941,6.109,67.782,0.167,0,647168,51044352,1582911488,13740167168,10887168,1031303168,0,0,
17-11 15:55:34,25.507,6.166,68.074,0.253,0,262144,110034944,1585242112,13737418752,11247616,1030934528,0,0,
17-11 15:55:35,26.290,5.990,67.637,0.083,0,229376,57344,1584533504,13737254912,11247616,1031102464,0,0,
17-11 15:55:36,25.319,5.607,69.074,0,0,0,172032,1584173056,13737508864,11255808,1031200768,0,0,
17-11 15:55:37,23.646,5.589,70.679,0.086,0,0,57344,1584193536,13737476096,11255808,1031213056,0,0,
17-11 15:55:38,24.894,5.927,69.179,0,0,32768,172032,1584443392,13737201664,11259904,1031213056,0,0,
17-11 15:55:39,25.609,5.626,68.682,0.084,0,0,65536,1584930816,13736701952,11268096,1031217152,0,0,
17-11 15:55:40,24.376,4.823,70.801,0,0,0,409600,1584685056,13736935424,11284480,1031213056,0,0,
17-11 15:55:41,25.439,6.109,68.452,0,0,32768,114688,1584627712,13736960000,11309056,1031221248,0,0,
17-11 15:55:42,25.479,6.162,68.276,0.083,0,0,147456,1584623616,13736951808,11309056,1031233536,0,0,
17-11 15:55:43,24.532,5.792,69.676,0,0,24576,262144,1584611328,13736951808,11325440,1031229440,0,0,
17-11 15:55:44,25.128,5.214,69.658,0,0,8192,73728,1584590848,13736951808,11325440,1031249920,0,0,
17-11 15:55:45,25.214,5.403,69.297,0.086,0,106496,65536,1582186496,13739335680,11370496,1031229440,0,0,
17-11 15:55:46,25.257,5.223,69.435,0.086,0,8192,155648,1586061312,13735419904,11378688,1031258112,0,0,
17-11 15:55:47,25,6.102,68.898,0,0,0,106496,1585811456,13735653376,11378688,1031274496,0,0,
17-11 15:55:48,24.486,5.565,69.863,0.086,0,0,106496,1585807360,13735636992,11378688,1031274496,0,0,
17-11 15:55:49,25.929,5.152,68.919,0,0,0,114688,1585807360,13735636992,11395072,1031258112,0,0,
17-11 15:55:50,25.487,5.588,68.840,0.085,0,0,270336,1585762304,13735653376,11403264,1031278592,0,0,
17-11 15:55:51,25.564,6.600,67.836,0,0,32768,98304,1585778688,13735620608,11427840,1031270400,0,0,
