

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-96k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 13:19:48 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:22:34,6.240,1.997,91.764,0,0,0,0,1559953408,13778014208,11001856,1017135104,0,0,
17-11 13:22:35,1.259,0.756,97.901,0.084,0,81920,155648,1556549632,13781377024,11001856,1017176064,0,0,
17-11 13:22:36,9.083,2,88.917,0,0,0,0,1559818240,13778104320,11001856,1017180160,0,0,
17-11 13:22:37,1.339,0.586,97.992,0.084,0,0,180224,1559117824,13778796544,11010048,1017180160,0,0,
17-11 13:22:38,18.724,3.946,77.246,0.084,0,0,122880,1559617536,13778288640,11010048,1017188352,0,0,
17-11 13:22:39,6.260,1.836,91.903,0,0,0,188416,1559613440,13778280448,11018240,1017192448,0,0,
17-11 13:22:40,1.172,0.586,98.159,0.084,0,0,196608,1559597056,13778280448,11034624,1017192448,0,0,
17-11 13:22:41,14.250,2.934,82.816,0,0,0,106496,1559597056,13778280448,11034624,1017192448,0,0,
17-11 13:22:42,1.585,0.751,97.581,0.083,0,0,212992,1559773184,13778071552,11042816,1017196544,0,0,
17-11 13:22:43,13.452,2.707,83.841,0,0,0,122880,1559769088,13778071552,11042816,1017200640,0,0,
17-11 13:22:44,24.744,5.546,69.539,0.171,0,32768,25403392,1559502848,13778022400,11108352,1017212928,0,0,
17-11 13:22:45,2.020,0.842,97.138,0,0,131072,434176,1557872640,13779570688,11116544,1017286656,0,0,
17-11 13:22:46,6.355,2.258,91.304,0.084,0,0,0,1558048768,13779394560,11116544,1017286656,0,0,
17-11 13:22:47,31.711,6.376,61.913,0,0,0,114688,1559744512,13777690624,11116544,1017290752,0,0,
17-11 13:22:48,4.678,1.671,93.567,0.084,0,0,73728,1559486464,13777948672,11116544,1017290752,0,0,
17-11 13:22:49,1.420,0.752,97.828,0,0,0,393216,1559465984,13777948672,11132928,1017294848,0,0,
17-11 13:22:50,3.258,1.003,95.656,0.084,0,0,114688,1559457792,13777948672,11141120,1017294848,0,0,
17-11 13:22:51,1.253,0.752,97.995,0,0,0,524288,1559441408,13777948672,11153408,1017298944,0,0,
17-11 13:22:52,15.192,3.506,81.219,0.083,0,0,106496,1559609344,13777780736,11153408,1017298944,0,0,
17-11 13:22:53,1.505,0.836,97.575,0.084,0,0,237568,1559597056,13777780736,11161600,1017303040,0,0,
17-11 13:22:54,12.615,2.757,84.628,0,0,0,0,1560641536,13776732160,11161600,1017307136,0,0,
17-11 13:22:55,14.721,3.215,81.980,0.085,0,16384,114688,1558810624,13778554880,11161600,1017315328,0,0,
17-11 13:22:56,1.668,1.001,97.331,0,0,0,24576,1561419776,13775949824,11161600,1017311232,0,0,
17-11 13:22:57,1.672,0.836,97.324,0.167,0,0,188416,1561411584,13775941632,11169792,1017319424,0,0,
17-11 13:22:58,1.255,0.669,98.075,0,0,0,24576,1561411584,13775941632,11169792,1017319424,0,0,
17-11 13:22:59,17.727,3.562,78.626,0.085,0,32768,25632768,1560494080,13776777216,11243520,1017327616,0,0,
