

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-128k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 17:45:27 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 17:48:19,29.856,5.513,64.631,0,0,0,106496,1596014592,13717364736,11911168,1038536704,0,0,
17-11 17:48:20,1.172,0.586,98.075,0.167,0,0,188416,1595990016,13717381120,11927552,1038528512,0,0,
17-11 17:48:21,1.007,0.587,98.322,0.084,0,0,90112,1595973632,13717372928,11939840,1038540800,0,0,
17-11 17:48:22,1.253,0.752,97.911,0.084,0,0,73728,1595691008,13717655552,11939840,1038540800,0,0,
17-11 17:48:23,4.606,1.424,93.886,0.084,0,0,57344,1596039168,13717307392,11939840,1038540800,0,0,
17-11 17:48:24,16.866,2.997,80.051,0.086,0,0,229376,1597026304,13716291584,11948032,1038561280,0,0,
17-11 17:48:25,0.926,0.589,98.316,0.168,0,0,49152,1593413632,13719912448,11948032,1038553088,0,0,
17-11 17:48:26,18.734,3.713,77.468,0.084,0,0,172032,1594683392,13718630400,11956224,1038553088,0,0,
17-11 17:48:27,8.909,1.665,89.425,0,0,0,196608,1593655296,13719654400,11956224,1038557184,0,0,
17-11 17:48:28,0.670,0.670,98.409,0.251,0,0,147456,1593954304,13719355392,11956224,1038557184,0,0,
17-11 17:48:29,27.073,5.922,67.005,0,0,0,172032,1594417152,13718880256,11964416,1038561280,0,0,
17-11 17:48:30,7.912,2.273,89.646,0.168,0,0,98304,1593860096,13719437312,11964416,1038561280,0,0,
17-11 17:48:31,1.506,0.418,97.992,0.084,0,0,196608,1593851904,13719437312,11980800,1038553088,0,0,
17-11 17:48:32,9.365,2.007,88.545,0.084,0,0,409600,1593843712,13719429120,11988992,1038561280,0,0,
17-11 17:48:33,1.004,0.586,98.243,0.167,0,49152,73728,1593819136,13719437312,11988992,1038577664,0,0,
17-11 17:48:34,2.005,1.086,96.825,0.084,0,0,139264,1596395520,13716824064,11997184,1038606336,0,0,
17-11 17:48:35,1.086,0.668,98.246,0,0,0,0,1594314752,13718904832,11997184,1038606336,0,0,
17-11 17:48:36,6.981,1.430,91.421,0.168,0,0,122880,1596047360,13717172224,11997184,1038606336,0,0,
17-11 17:48:37,0.920,0.753,98.244,0.084,0,0,57344,1596116992,13717098496,12001280,1038606336,0,0,
17-11 17:48:38,11.206,2.224,86.399,0.171,0,0,204800,1596157952,13717057536,12009472,1038598144,0,0,
17-11 17:48:39,2.929,0.837,96.067,0.167,0,0,237568,1596100608,13717090304,12017664,1038614528,0,0,
17-11 17:48:40,1.505,0.753,97.659,0.084,0,0,122880,1596383232,13716799488,12025856,1038614528,0,0,
17-11 17:48:41,12.175,2.771,85.055,0,0,0,65536,1596305408,13716865024,12034048,1038618624,0,0,
17-11 17:48:42,1.849,0.504,97.395,0.252,0,0,106496,1596305408,13716865024,12034048,1038618624,0,0,
17-11 17:48:43,21.801,4.125,73.906,0.168,0,0,163840,1596526592,13716631552,12050432,1038614528,0,0,
17-11 17:48:44,1.252,0.835,97.830,0.083,0,8192,122880,1597849600,13715300352,12054528,1038618624,0,0,
17-11 17:48:45,5.378,1.345,93.277,0,0,131072,0,1595215872,13717864448,12054528,1038688256,0,0,
17-11 17:48:46,35.058,7.179,57.679,0.083,0,0,196608,1595154432,13717913600,12062720,1038696448,0,0,
17-11 17:48:47,2.361,0.759,96.880,0,0,0,0,1595179008,13717880832,12062720,1038700544,0,0,
17-11 17:48:48,1.587,0.334,97.828,0.251,0,0,204800,1595162624,13717897216,12070912,1038692352,0,0,
17-11 17:48:49,9.129,1.675,89.112,0.084,0,0,65536,1595203584,13717823488,12070912,1038704640,0,0,
17-11 17:48:50,1.585,0.584,97.665,0.167,0,0,180224,1595195392,13717823488,12087296,1038696448,0,0,
17-11 17:48:51,6.208,1.510,92.282,0,0,0,49152,1595183104,13717823488,12087296,1038708736,0,0,
17-11 17:48:52,1.255,0.502,98.159,0.084,0,0,393216,1595207680,13717798912,12087296,1038708736,0,0,
17-11 17:48:53,2.003,1.085,96.745,0.167,0,0,57344,1594925056,13718081536,12087296,1038708736,0,0,
17-11 17:48:54,1.830,0.832,97.171,0.166,0,0,245760,1596465152,13716525056,12095488,1038716928,0,0,
17-11 17:48:55,2.929,0.753,96.318,0,0,163840,0,1591472128,13721436160,12095488,1038798848,0,0,
17-11 17:48:56,2.254,0.835,96.661,0.250,0,0,180224,1604857856,13708050432,12103680,1038794752,0,0,
17-11 17:48:57,4.473,0.928,94.599,0,0,0,0,1603330048,13709565952,12103680,1038802944,0,0,
17-11 17:48:58,1.830,0.666,97.338,0.166,0,0,319488,1603346432,13709549568,12103680,1038802944,0,0,
17-11 17:48:59,15.385,2.843,81.773,0,0,0,8192,1603354624,13709524992,12103680,1038802944,0,0,
17-11 17:49:00,4.886,1.179,93.766,0.168,0,0,335872,1603366912,13709492224,12120064,1038807040,0,0,
17-11 17:49:01,1.674,0.669,97.490,0.167,0,16384,311296,1603366912,13709484032,12124160,1038811136,0,0,
17-11 17:49:02,9.648,2.433,87.164,0.755,0,32768,25534464,1601826816,13710893056,12197888,1038659584,0,0,
17-11 17:49:03,1.173,0.586,98.157,0.084,0,0,188416,1601806336,13710716928,12197888,1038839808,0,0,
17-11 17:49:04,20.698,4.003,75.128,0.170,0,0,196608,1603854336,13708668928,12206080,1038831616,0,0,
17-11 17:49:05,4.770,0.921,94.310,0,0,131072,0,1601961984,13710483456,12206080,1038909440,0,0,
17-11 17:49:06,1.511,0.840,97.397,0.252,0,0,163840,1606123520,13706321920,12206080,1038913536,0,0,
17-11 17:49:07,12.068,3.207,81.350,3.376,0,114688,133693440,1605836800,13705736192,12369920,1038815232,0,0,
17-11 17:49:08,1.421,0.502,97.910,0.167,0,0,131072,1605963776,13705449472,12378112,1038839808,0,0,
