

"Host:","peer17",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-64k-lsfs-peer17.dstat.csv",,,,"Date:","17 Nov 2022 16:30:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 16:32:11,15.043,3.932,80.513,0.513,0,0,21397504,790134784,12555894784,620793856,2221559808,0,0,
17-11 16:32:12,5.863,1.675,92.295,0.168,0,0,65536,790134784,12555894784,620793856,2221559808,0,0,
17-11 16:32:13,2.538,1.354,96.108,0,0,0,0,790102016,12555919360,620793856,2221568000,0,0,
17-11 16:32:14,10.135,2.534,87.331,0,0,0,0,790417408,12555603968,620793856,2221568000,0,0,
17-11 16:32:15,15.491,3.787,80.723,0,0,0,0,790376448,12555636736,620793856,2221576192,0,0,
17-11 16:32:16,2.517,1.174,96.309,0,0,0,0,791306240,12554706944,620793856,2221576192,0,0,
17-11 16:32:17,17.230,2.703,79.899,0.169,0,0,221184,791150592,12554854400,620802048,2221576192,0,0,
17-11 16:32:18,35.763,8.644,55.593,0,0,0,16384,791134208,12554862592,620802048,2221584384,0,0,
17-11 16:32:19,26.027,6.336,67.637,0,0,0,0,791134208,12554862592,620802048,2221584384,0,0,
17-11 16:32:20,2.020,0.337,97.643,0,0,0,0,793460736,12552531968,620802048,2221588480,0,0,
17-11 16:32:21,9.916,2.521,87.563,0,0,0,0,792416256,12553572352,620802048,2221588480,0,0,
17-11 16:32:22,3.553,1.184,94.924,0.338,0,0,212992,792399872,12553572352,620810240,2221596672,0,0,
17-11 16:32:23,1.513,0.504,97.983,0,0,0,204800,792408064,12553564160,620818432,2221588480,0,0,
17-11 16:32:24,14.890,3.046,82.064,0,0,0,0,792391680,12553572352,620818432,2221596672,0,0,
17-11 16:32:25,1.508,0.503,97.990,0,0,0,0,792432640,12553531392,620818432,2221596672,0,0,
17-11 16:32:26,13.605,3.912,82.483,0,0,0,0,790896640,12555063296,620818432,2221592576,0,0,
17-11 16:32:27,8.848,2.504,88.648,0,0,0,16384,790839296,12555120640,620818432,2221596672,0,0,
17-11 16:32:28,1.174,0.503,97.987,0.336,0,0,196608,790839296,12555120640,620822528,2221592576,0,0,
17-11 16:32:29,20.428,6.425,73.147,0,0,0,0,790835200,12555120640,620822528,2221596672,0,0,
17-11 16:32:30,1.846,0.671,97.483,0,0,0,0,793149440,12552790016,620822528,2221608960,0,0,
17-11 16:32:31,1.354,0.508,98.139,0,0,0,0,791339008,12554604544,620822528,2221604864,0,0,
17-11 16:32:32,30.201,6.376,63.255,0.168,0,0,221184,791339008,12554604544,620826624,2221600768,0,0,
17-11 16:32:33,2.013,0.503,97.483,0,0,0,32768,791330816,12554604544,620826624,2221608960,0,0,
17-11 16:32:34,1.173,0.503,98.325,0,0,0,0,791330816,12554604544,620826624,2221608960,0,0,
17-11 16:32:35,15.615,4.651,79.568,0.166,0,0,131072,791298048,12554629120,620826624,2221617152,0,0,
17-11 16:32:36,2.829,1.165,95.840,0.166,0,0,49152,790245376,12555669504,620830720,2221625344,0,0,
17-11 16:32:37,18.992,4.202,76.807,0,0,0,49152,790278144,12555644928,620830720,2221617152,0,0,
17-11 16:32:38,17.900,4.303,77.797,0,0,0,0,790286336,12555636736,620830720,2221617152,0,0,
17-11 16:32:39,1.014,0.338,97.973,0.676,0,8192,58073088,790286336,12555636736,620834816,2221613056,0,0,
17-11 16:32:40,3.183,1.340,95.142,0.335,0,0,122880,791851008,12554055680,620834816,2221629440,0,0,
