

"Host:","peer7",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-peer7.dstat.csv",,,,"Date:","29 Nov 2022 11:49:23 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 11:52:57,25.452,3.120,70.772,0.657,0,0,16809984,836960256,13143531520,984928256,1206042624,0,0,
29-11 11:52:58,28.336,3.130,68.204,0.329,0,0,8527872,836968448,13143015424,984932352,1206435840,0,0,
29-11 11:52:59,26.080,2.990,70.930,0,0,0,0,836907008,13142757376,984932352,1206751232,0,0,
29-11 11:53:00,29.011,3.404,67.099,0.486,0,0,16867328,838270976,13140860928,984932352,1207136256,0,0,
29-11 11:53:01,24.623,2.178,73.199,0,0,0,172032,837984256,13140660224,984932352,1207500800,0,0,
29-11 11:53:02,25.461,3.183,71.189,0.168,0,0,65536,837648384,13140660224,984932352,1207836672,0,0,
29-11 11:53:03,26.968,3.183,69.849,0,0,0,0,837464064,13140402176,984932352,1208274944,0,0,
29-11 11:53:04,27.496,2.619,69.885,0,0,0,0,837103616,13140418560,984932352,1208614912,0,0,
29-11 11:53:05,27.243,2.492,70.266,0,0,0,237568,836812800,13140402176,984936448,1208918016,0,0,
29-11 11:53:06,25.914,4.153,69.601,0.332,0,0,7421952,834822144,13141917696,984936448,1209393152,0,0,
29-11 11:53:07,26.131,1.843,72.027,0,0,0,0,835620864,13140885504,984936448,1209622528,0,0,
29-11 11:53:08,26.929,3.120,69.951,0,0,0,0,835846144,13140111360,984936448,1210163200,0,0,
29-11 11:53:09,25.833,2.500,71.667,0,0,0,0,835481600,13140111360,984936448,1210527744,0,0,
29-11 11:53:10,27.169,2.946,69.885,0,0,0,221184,835444736,13139853312,984936448,1210822656,0,0,
29-11 11:53:11,26.524,3.130,70.346,0,0,0,16384,836075520,13138821120,984936448,1211219968,0,0,
29-11 11:53:12,25.743,3.135,70.957,0.165,0,0,188416,836018176,13138538496,984936448,1211555840,0,0,
29-11 11:53:13,27.288,2.496,70.216,0,0,0,49152,835796992,13138288640,984936448,1212002304,0,0,
29-11 11:53:14,27.169,2.946,69.885,0,0,0,0,835620864,13138014208,984936448,1212444672,0,0,
29-11 11:53:15,26.351,2.365,71.115,0.169,0,0,401408,835571712,13137772544,984936448,1212727296,0,0,
29-11 11:53:16,27.760,4.221,68.019,0,0,0,1867776,837050368,13135859712,984936448,1213149184,0,0,
29-11 11:53:17,27.183,2.306,70.346,0.165,0,0,98304,836653056,13135900672,984936448,1213497344,0,0,
29-11 11:53:18,26.500,2.667,70.833,0,0,0,0,836837376,13135417344,984936448,1213792256,0,0,
29-11 11:53:19,26.942,3.636,69.421,0,0,0,0,836931584,13134884864,984936448,1214222336,0,0,
29-11 11:53:20,24.708,2.504,72.788,0,0,0,204800,836894720,13134643200,984936448,1214500864,0,0,
29-11 11:53:21,25.581,2.492,71.927,0,0,0,3629056,837750784,13133336576,984936448,1214947328,0,0,
