timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:07:08.944, 64 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:09.945, 73 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:10.947, 67 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:11.949, 74 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:12.950, 84 %, 66 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:13.952, 66 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:14.954, 69 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:15.955, 72 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:16.956, 57 %, 45 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:17.959, 69 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:18.961, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:19.962, 70 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:20.964, 76 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:21.966, 62 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:22.967, 77 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:23.969, 70 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:24.971, 73 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:25.972, 80 %, 63 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:26.973, 79 %, 67 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:27.975, 73 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:28.976, 72 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:29.978, 66 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:30.979, 72 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:31.981, 67 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:32.983, 73 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:33.984, 75 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:34.985, 76 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:35.986, 76 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:36.988, 74 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:37.989, 69 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:38.990, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:39.992, 79 %, 61 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:40.993, 66 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:41.995, 70 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:42.997, 67 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:43.998, 71 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:45.000, 58 %, 44 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:46.001, 68 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:47.002, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:48.004, 70 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:49.006, 65 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:50.008, 66 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:51.009, 69 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:52.010, 73 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:53.012, 58 %, 46 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:54.014, 74 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:55.016, 72 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:56.018, 78 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:57.020, 69 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:58.021, 76 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:59.023, 75 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:00.024, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:01.026, 71 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:02.031, 57 %, 45 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:03.032, 51 %, 39 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:04.035, 62 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:05.036, 68 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:06.037, 77 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:07.039, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:08.042, 79 %, 62 %, 15360 MiB, 458 MiB, 14451 MiB
